Author,Birthdate,Title,Publication Date,Price,Sales,ISBN,Publisher,Address,Current Sales
William Shakespeare,26 April 1564,Romeo and Juliet,1597,10.99,100 million,978-1-4070-7523-1,Penguin Books,"80 Strand, London, WC2R 0RL, United Kingdom",
Charles Dickens,7 February 1812,A Christmas Carol,1843,9.99,50 million,978-0-141-02016-4,Penguin Classics,"80 Strand, London, WC2R 0RL, United Kingdom",
Jane Austen,16 December 1775,Pride and Prejudice,1813,8.99,40 million,978-0-141-03393-5,Penguin Classics,"80 Strand, London, WC2R 0RL, United Kingdom",
J.R.R. Tolkien,3 January 1892,The Hobbit,1937,12.99,100 million,978-0-545-09473-4,HarperCollins,"1 London Bridge Street, London, SE1 9GF, United Kingdom",
George Orwell,25 June 1903,1984,1949,10.99,50 million,978-0-553-21300-5,Penguin Classics,"80 Strand, London, WC2R 0RL, United Kingdom",
J.K. Rowling,31 July 1965,Harry Potter and the Philosopher's Stone,1997,7.99,500 million,978-0-553-81112-2,Bloomsbury Publishing,"50 Bedford Square, London, WC1B 3DP, United Kingdom",
Margaret Atwood,18 November 1939,The Handmaid's Tale,1985,9.99,30 million,978-0-06-201873-4,Vintage Books,"1745 Broadway, New York, NY 10019, United States",
Philip Pullman,19 October 1946,His Dark Materials,1995,12.99,100 million,978-0-00-723774-1,Scholastic Press,"557 Broadway, New York, NY 10012, United States",
Mark Twain,"November 30, 1835",The Adventures of Tom Sawyer,1876,$12.99,,978-0-312-59929-9,Penguin Books,"375 Hudson Street, New York, NY 10014",25 million
Ernest Hemingway,"July 21, 1899",The Old Man and the Sea,1952,$12.99,,978-0-307-75247-6,Simon & Schuster,"1230 Avenue of the Americas, New York, NY 10020",10 million
Harper Lee,"April 28, 1926",To Kill a Mockingbird,1960,$16.99,,978-0-449-22610-9,HarperCollins Publishers,"195 Broadway, New York, NY 10007",40 million
John Steinbeck,"February 27, 1902",The Grapes of Wrath,1939,$12.99,,978-0-312-59925-1,Penguin Books,"375 Hudson Street, New York, NY 10014",20 million
J.D. Salinger,"January 16, 1919",The Catcher in the Rye,1951,$12.99,,978-0-312-59924-4,Penguin Books,"375 Hudson Street, New York, NY 10014",15 million
Stephen King,"September 21, 1947",The Shining,1977,$12.99,,978-0-307-26616-1,Simon & Schuster,"1230 Avenue of the Americas, New York, NY 10020",350 million
Tom Clancy,"April 12, 1947",The Hunt for Red October,1984,$12.99,,978-0-06-019954-8,Penguin Books,"375 Hudson Street, New York, NY 10014",70 million
John Grisham,"February 8, 1955",A Time to Kill,1989,$12.99,,978-0-312-28870-6,Hodder & Stoughton,"338 Euston Road, London, NW1 3BH",80 million
J.K. Rowling,"July 31, 1965",Harry Potter and the Philosopher's Stone,1997,$12.99,,978-0-7475-3269-9,Bloomsbury Publishing,"50 Bedford Square, London, WC1B 3DP",500 million
Stephenie Meyer,"December 24, 1973",Twilight,2005,$12.99,,978-0-553-82764-7,"Little, Brown Book Group","Carmelite House, 50 Victoria Embankment, London, EC4Y 0DZ",100 million
Mark Twain,"November 30, 1835",Fake Second Book Of The Author,1886,$12.99,,978-0-312-59119-9,Penguin Books,"375 Hudson Street, New York, NY 10014",5 million
